,speaker,text
25,lee cronin, and then when i was pushed by a bunch of mathematicians we came up with the correct physical explanation which i can get to but its the minimum and its really important its the minimum and the reason i knew the minimum was right is because we could measure it so almost before this paper came out wed published papers explain how you can measure the assembly index of molecules
26,lex fridman, okay so thats not so trivial to figure out so when you look at an object we could say a molecule we could say object more generally to figure out the minimum number of steps it takes to create that object that doesnt seem like a trivial thing to do
27,lee cronin, so with molecules it is not trivial but it is possible because what you can do and because im a chemist so im kind of like i see the lens of the world for just chemistry i break the molecule apart and break bonds and if you take a molecule and you break it all apart you have a bunch of atoms and then you say okay im going to then take the atoms and form bonds and go up the chain of events to make the molecule
28,lee cronin, and thats what made me realize take a toy example literally a toy example take a lego object which is broken up of lego blocks so you could do exactly the same thing in this case the lego blocks are naturally the smallest theyre the atoms in the actual composite lego architecture but then if you maybe take a couple of blocks and put them together in a certain way maybe theyre offset in some way that offset is on the memory you can use that offset again with only a penalty of one and you can then make a square triangle and keep going
29,lee cronin, and you remember those motifs on the chain so you can then leap from the start with all the lego blocks or atoms just laid out in front of you and say right ill take you you you connect and do the least amount of work so its really like the smallest steps you can take on the graph to make the object and so for molecules it came relatively intuitively and then we started to apply it to language weve even started to apply it to mathematical theorems but im so well out of my depth but it looks like you can take minimum set of axioms and then start to build up mathematical architectures in the same way and then the shortest path to get there is something interesting that i dont yet understand
30,lex fridman, so whats the computational complexity of figuring out the shortest path with molecules with language with mathematical theorems it seems like once you have the fully constructed lego castle or whatever your favorite lego world is figuring out how to get there from the basic building blocks is that an empty hard problem its a hard problem
31,lee cronin, its a hard problem but actually if you look at it so the best way to look at it lets take a molecule so if the molecule has  bonds first of all take  copies of the molecule and just cut all the bonds so cut  bonds and then you just put them in order and then thats how it works and you keep looking for symmetry or copies so you can then shorten it as you go down
32,lee cronin, and that becomes inaudible  quite hard for some natural product molecules it becomes very hard its not impossible but were looking at the bounds on that at the moment but as the object gets bigger it becomes really hard but thats the bad news but the good news is there are shortcuts and we might even be able to physically measure the complexity without computationally calculating it which is kind of insane
33,lex fridman, wait how would you do that
34,lee cronin, well in the case of molecule so if you shine light on a molecule lets take an infrared the molecule has each of the bonds absorbs the infrared differently in what we call the fingerprint region and so its a bit like because its quantized as well you have all these discreet kind of absorbances and my intuition after we realized we could cut molecules up in mass spec that was the first go at this we did it with using infrared and the infrared gave us an even better correlation assembly index and we used another technique as well in addition to infrared called nmr nuclear magnetic resonance which tells you about the number of different magnetic environments in a molecule and that also worked out so we have three techniques which each of them independently gives us the same or tending towards the same assembly index from molecule that we can calculate mathematically
35,lex fridman, so these are all methods of mass spectrometry mass spec you scan a molecule it gives you data in the form of a mass spectrum and youre saying that the data correlates to the assembly index
36,lee cronin, yeah
37,lex fridman, so how generalizable is that shortcut first of all its chemistry and second of all beyond that that seems like a nice hack and youre extremely knowledgeable about various aspects of chemistry so you can say okay it kind of correlates but the whole idea behind assembly theory paper and perhaps why its so controversial is that it reaches bigger it reaches for the bigger general theory of objects in the universe
38,lee cronin, yeah id say so id agree so ive started assembly theory of emoticons with my lab believe it or not so we take emojis pixelate them and work out the assembly index of the emoji and then work out how many emojis you can make on the path of emoji so theres the uber emoji from which all other emojis emerge so you can then take a photograph and by looking at the shortest path by reproducing the pixels to make the image you want you can measure that so then you start to be able to take spatial data
39,lee cronin, now theres some problems there what is then the definition of the object how many pixels how do you break it down and so were just learning all this right now
40,lex fridman, so how do you compute begin to compute the assembly index of a graphical a set of pixels on a d plane that form a thing
41,lee cronin, so you would first of all determine the resolution so then what is your xy and what the number on the x and y plane and then look at the surface area and then you take all your emojis and make sure theyre all looked at the same resolution and then we would basically then do exactly the same thing we would do for cutting the bonds youd cut bits out of the emoji and look at youd have a bag of pixels and you would then add those pixels together to make the overall emoji
42,lex fridman, wait wait a minute but first of all not every pixels i mean this is at the core machine learning and computer vision not every pixels that important and theres macro features theres micro features and all that kind of stuff
43,lee cronin, exactly
44,lex fridman, the eyes appear in a lot of them the smile appears in a lot of them
45,lee cronin, so in the same way in chemistry we assume the bond is fundamental what we do in theyre and here is we assume the resolution at the scale at which we do it is fundamental and were just working that out and youre right that will change because as you take your lens out a bit it will change dramatically
46,lee cronin, but its just a new way of looking at not just compression what we do right now in computer science and data one big kind of misunderstanding as assembly theory is telling you about how compressed the object is thats not right its how much information is required on a chain of events because the nice thing is if when you do compression and computer science were wandering a bit here but its kind of worth wandering i think you assume you have instantaneous access to all the information in the memory in assembly theory you say no you dont get access to that memory until youve done the work and then when youve done access to that memory you can have access but not to the next one
47,lee cronin, and this is how in assembly theory we talk about the four universes the assembly universe the assembly possible and the assembly contingent and then the assembly observed and theyre all scales in this commentorial universe
48,lex fridman, yeah can you explain each one of them
49,lee cronin, yep so the assembly universe is like anything goes just combinatorial kind of explosion in everything
50,lex fridman, so thats the biggest one
51,lee cronin, thats the biggest one its massive
52,lex fridman, assembly universe assembly possible assembly contingent assembly observed and the y axis is assembly steps in time and the x axis as the thing expands through time more and more unique objects appear
53,lee cronin, yeah so assembly universe everything goes assembly possible laws of physics come in this case in chemistry bonds assembly so that means
54,lex fridman, those are extra constraints i guess
55,lee cronin, yes and theyre the only constraints theyre the constraints at the base so the way to look at its youve got all your atoms theyre contized and you can just bond them together so then you can become a kind of so in the way in computer science speak i suppose the assembly universe is just like no laws of physics things can fly through mountains beyond the speed of light in the assembly possible you have to apply the laws of physics but you can get access to all the motifs instantaneously with no effort so that means you could make anything
56,lee cronin, then the assembly contingent says no you cant have access to the highly assembled object in the future until youve done the work in the past on the causal chain and thats really the really interesting shift where you go from assembly possible to assembly contingent that is really the key thing in assembly theory that says you cannot just have instantaneous access to all those memories you have to have done the work somehow the universe has to have somehow built a system that allows you to select that path rather than other paths
57,lee cronin, and then the final thing the assembly observed is basically us saying oh these are the things we actually see we can go backwards now and understand that they have been created by this causal process
58,lex fridman, wait a minute so when you say the universe has to construct the system that does the work is that like the environment that allows for selection
59,lee cronin, yeah
60,lex fridman, so thats the thing that does the selection
61,lee cronin, you could think about in terms of a von neumann constructor versus a selection a ribosome a tesla plant assembling teslas the difference between the assembly universe in tesla land and the tesla factory is everyone says no teslas are just easy they just spring out you know how to make them all the tesla factory you have to put things in sequence and out comes a tesla
62,lex fridman, so youre talking about the factory
63,lee cronin, yes this is really nice super important point is that when i talk about the universe having a memory or theres some magic its not that its that tells you that there must be a process encoded somewhere in physical reality be it a cell a tesla factory or something else that is making that object im not saying theres some kind of woowoo memory in the universe morphic resonance or something im saying that there is an actual causal process that is being directed constrained in some way so its not kind of just making everything
64,lex fridman, yeah but lee whats the factory that made the factory first of all you assume the laws of physics is just sprung to existence at the beginning those are constraints but what makes the factory the environment that does the selection
65,lee cronin, this is the question of well its the first interesting question that i want to answer out of four i think the factory emerges in the interplay between the environment and the objects that are being built and let me ill have a go at explain to you the shortest path
66,lee cronin, so why is the shortest path important imagine youve got im going to have to go chemistry for a moment then abstract it so imagine youve got a given environment that you have a budget of atoms youre just flinging together and the objective of those atoms that being flung together in say molecule a they decompose so molecules decompose over time so the molecules in this environment in this magic environment have to not die but they do die they have a halflife
67,lee cronin, so the only way the molecules can get through that environment out the other side lets pretend the environment is a box and can go in and out without dying and theres just an infinite supply of atoms coming or well a large supply the molecule gets built but the molecule that is able to template itself being built and survives in the environment will basically reign supreme
68,lee cronin, now lets say that molecule takes  steps and it is using a finite set of atoms now lets say another molecule smart ass molecule well call it comes in and can survive in that environment and can copy itself but it only needs five steps the molecule that only needs five steps continued both molecules are being destroyed but theyre creating themselves faster they can be destroyed you can see that the shortest path reigns supreme so the shortest path tells us something super interesting about the minimal amount of information required to propagate that motif in time and space and it seems to be like some kind of conservation law
69,lex fridman, so one of the intuitions you have is the propagation of motifs in time will be done by the things that can construct themselves in the shortest path
70,lee cronin, yeah
71,lex fridman, so you can assume that most of the objects in the universe are built in the shortest in the most efficient way big leap i just took there
72,lee cronin, yeah yes and no because there are other things so in the limit yes because you want to tell the difference between things that have required a factory to build them and just random processes but you can find instances where the shortest path isnt taken for an individual object individual function and people go ah that means the shortest path isnt right and then i say well i dont know i think its right still because so of course because there are other driving forces its not just one molecule
73,lee cronin, now you start to consider two objects you have a joint assembly space and its not now its a compromise between not just making a and b in the shortest path you want to be able to make a and b in the shortest path which might mean that a is slightly longer compromise so when you see slightly more nesting in the construction when you take a given object that can look longer but thats because the overall function is the object is still trying to be efficient and this is still very hand wavy and maybe having no leg to stand on but we think were getting somewhere with that
74,lex fridman, and theres probably some parallelization right
75,lee cronin, yeah
76,lex fridman, so this is not sequential the building is i guess
77,lee cronin, no youre right
78,lex fridman, when youre talking about complex objects you dont have to work sequentially you can work in parallel you can get your friends together and they can
79,lee cronin, yeah and the thing were working on right now is how to understand these parallel processes now theres a new thing weve introduced called assembly depth and assembly depth can be lower than the assembly index for a molecule when theyre cooperating together because exactly this parallel processing is going on and my team have been working this out in the last few weeks because were looking at what compromises does nature need to make when its making molecules in a cell and i wonder if maybe like well im always leaping out of my competence but in economics im just wondering if you could apply this in economic processes it seems like capitalism is very good at finding shortest path every time and there are ludicrous things that happen because actually the cost function has been minimized
80,lee cronin, and so i keep seeing parallels everywhere where there are complex nested systems where if you give it enough time and you introduce a bit of heterogeneity the system readjusts and finds a new shortest path but the shortest path isnt fixed on just one molecule now its in the actual existence of the object over time and that object could be a city it could be a cell it could be a factory but i think were going way beyond molecules and my competence so probably should go back to molecules but hey
81,lee cronin,assembly equation
82,lex fridman, all right before we get too far lets talk about the assembly equation okay how should we do this let me just even read that part of the paper we define assembly as the total amount of selection necessary to produce an ensemble of observed objects quantified using equation one the equation basically has a on one side which is the assembly of the ensemble and then a sum from one to n where n is the total number of unique objects
83,lex fridman, and then there is a few variables in there that include the assembly index the copy number which well talk about thats an interesting i dont remember you talking about that thats an interesting addition and i think a powerful one it has to do with what that you can create pretty complex objects randomly and in order to know that theyre not random that theres a factory involved you need to see a bunch of them thats the intuition there its an interesting intuition and then some normalization what else is and
84,lee cronin, n minus one just to make sure that more than one object one object could be a oneoff and random and then you have more than one identical object thats interesting
85,lex fridman, when theres two of a thing
86,lee cronin, two of a thing is super important especially if the index assembly index is high
87,lex fridman, so we could say several questions here one lets talk about selection what is this term selection what is this term evolution that were referring to which aspect of darwinian evolution are we referring to thats interesting here
88,lee cronin, yeah so this is probably what the paper we should talk about the paper for a second the paper what it did is it kind of annoyed we didnt know it it got intention and obviously the angry people were annoyed
89,lex fridman, theres angry people in the world thats good
90,lee cronin, so what happened is the evolutionary biologists got angry we were not expecting that we thought evolutionary biologists would be cool i knew that some not many computational complexity people will get angry because ive kind of been poking them and maybe i deserved it but i was trying to poke them in a productive way and then the physicists kind of got grumpy because the initial conditions tell everything the prebiotic chemist got slightly grumpy because theres not enough chemistry in there then finally when the creationist said it wasnt creationist enough i was like ive done my job
91,lex fridman, youre saying the physics they say because youre basically saying that physics is not enough to tell the story of how biology emerges
92,lee cronin, i think so
93,lex fridman, and then they said a few physics is the beginning and the end of the story
94,lee cronin, so what happened is the reason why people put the phone down on the call of the paper if you view reading the paper like a phone call they got to the abstract and in the abstract
95,lex fridman, first sentence is pretty strong
96,lee cronin, the first two sentences caused everybody
97,lex fridman, scientists have grappled with reconciling biological evolution with the immutable laws of the universe defined by physics
98,lee cronin, true right theres nothing wrong with that statement totally true
99,lex fridman, yeah these laws underpin lifes origin evolution and the development of human culture and technology yet they do not predict the emergence of these phenomena wow first of all we should say the title of the paper this paper was accepted and published in nature the title is assembly theory explains and quantifies selection and evolution very humble title and the entirety of the paper i think presents interesting ideas but reaches high
100,lee cronin, i am not i would do it all again this paper was actually on the preprint server for over a year
101,lex fridman, you regret nothing
102,lee cronin, yeah
103,lee cronin, i think yeah i dont regret anything
104,lex fridman, you and frank sinatra did it your way
105,lee cronin, what i love about being a scientist is sometimes because im a bit dim and i dont understand what people are telling me i want to get to the point this paper says hey the laws of physics are really cool the universe is great but they dont really its not intuitive that you just run the standard model and get life out i think most physicists might go yeah its not just we cant just go back and say thats what happened because physics cant explain the origin of life yet that doesnt mean it wont or cant okay just to be clear sorry intelligent designers we are going to get there
106,lee cronin, second point we say that evolution works but we dont know how evolution got going so biological evolution and biological selection so for me this seems like a simple continuum so when i mentioned selection and evolution in the title i think and in the abstract we should have maybe prefaced that and said nonbiological selection and nonbiological evolutions and then that might have made it even more crystal clear but i didnt think that biology evolutionary biology should be so bold to claim ownership of selection and evolution
107,lee cronin, and secondly a lot of evolutionary biologists seem to dismiss the origin of life question and just say its obvious and that causes a real problem scientifically because two different when the physicists are like  we own the universe the universe is good we explain all of it look at us and even biologists say we can explain biology and the poor chemists in the middle going but hang on
108,lee cronin, and this paper kind of says hey there is an interesting disconnect between physics and biology and thats at the point at which memories get made in chemistry through bonds and hey lets look at this close and see if we can quantify it so yeah i never expected the paper to get that much interest and still its only been published just over a month ago now
109,lex fridman, so just to link on the selection what is the broader sense of what selection means
110,lee cronin, yeah thats really good for selection so i think for selection so this is where for me the concept of an object is something that can persist in time and not die but basically can be broken up so if i was going to kind of bolster the definition of an object so if something can form and persist for a long period of time under an existing environment that could destroy other and im going to use anthropomorphic terms i apologize about weaker objects or less robust then the environment could have selected that
111,lee cronin, so good chemistry examples if you took some carbon and you made a chain of carbon atoms whereas if you took some i dont know some carbon nitrogen and oxygen and made change from those youd start to get different reactions and rearrangements so a chain of carbon atoms might be more resistant to falling apart under a acidic or basic conditions versus another set of molecules so it survives in that environment so the acid pond the resistant molecule can get through and then that molecule goes into another environment so that environment now maybe being acid pond is a basic pond or maybe its an oxidizing pond and so if youve got carbon and it goes an oxidizing pond maybe the carbon starts to oxidize and break apart so you go through all these kind of obstacle courses if you like given by reality so selection is the ability happens when object survives in an environment for some time
112,lee cronin, and this is the thing thats super subtle the object has to be continually being destroyed and made by process so its not just about the object now its about the process and time that makes it because a rock could just stand on the mountain side for  billion years and nothing happened to it and thats not necessarily really advanced selection so for selection to get really interesting you need to have a turnover in time you need to be continually creating objects producing them what we call discovery time so theres a discovery time for an object
113,lee cronin, when that object is discovered if its say a molecule that can then act on itself or the chain of events that caused itself to bolster its formation then you go from discovery time to production time and suddenly you have more of it in the universe so it could be a selfreplicating molecule and the interaction of the molecule in the environment in the warm little pond or in the sea or wherever in the bubble could then start to build a proto factory the environment
114,lee cronin, so really to answer your question what the factory is the factory is the environment but its not very autonomous its not very redundant theres lots of things that could go wrong so once you get high enough up the hierarchy of networks of interactions something needs to happen that needs to be compressed into a smaller volume and made resistant robust because in biology selection and evolution is robust that you have error correction built in you have really theres good ways of basically making sure propagation goes on
115,lee cronin, so really the difference between inorganic antibiotic selection and evolution and evolution and stuff in biology is robustness the ability to propagate the ability to survive in lots of different environments whereas our poor little inorganic sole molecule whatever just dies in lots of different environments so theres something super special that happens from the inorganic molecule in the environment that kills it to where youve got evolution and cells can survive everywhere
116,lex fridman, how special is that how do you know those kinds of evolution factors arent everywhere in the universe
117,lee cronin, i dont and im excited because i think selection isnt special at all i think what is special is the history of the environments on earth that gave rise to the first cell that now has taken all those environments and is now more autonomous and i would like to think that you know this paper could be very wrong but i dont think its very wrong i mean its certainly wrong but its less wrong than some other ideas i hope right and if this inspires us to go and look for selection in the universe because we now have an equation where we can say we can look for selection going on and say oh thats interesting we seem to have a process its giving us high copy number objects that also are highly complex but that doesnt look like life as we know it
118,lee cronin, and we use that and say oh theres a hydrothermal vent oh theres a process going on theres molecular networks because the assembly equation is not only meant to identify at the higher end advanced selection what you get i would call in biology super advanced selection and even you could use the assembly equation to look for technology and god forbid we could talk about consciousness and abstraction but lets keep it primitive molecules and biology so i think the real power of the assembly equation is to say how much selection is going on in this space
119,lee cronin, and theres a really simple thought experiment i could do is you have a little petri dish and on that petri dish you put some simple food so the assembly index of all the sugars and everything is quite low so then and you put a single cell of e coli cell and then you say im going to measure the assembly in this amount of assembly in the box so its quite low but the rate of change of assembly dadt will go inaudible  sigmoidal as it eats all the food and the number of coli cells will replicate because they take all the food they copy themselves the assembly index of all the molecules goes up up and up until the food is exhausted in the box so now the e colis stopped
120,lee cronin,  in the box so now the e colis stopped i mean die is probably a strong word they stopped respiring because all the food is gone but suddenly the amount of assembly in the box has gone up gigantically because of that one e coli factory has just eaten through milled lots of other e coli factories run out of food and stopped and so that looking at that so in the initial box although the amount of assembly was really small it was able to replicate and use all the food and go up and thats what were trying to do in the lab actually is make those experiments and see if we can spot the emergence of molecular networks that are producing complexity as we feed in raw materials and we feed a challenge an environment we try and kill the molecules and really thats the main idea for the entire paper
121,lex fridman, yeah and see if you can measure the changes in the assembly index throughout the whole system
122,lee cronin, yeah
123,lee cronin,discovering alien life
124,lex fridman, okay what about if i show up to a new planet well go to mars or some other planet from a different solar system how do we use assembly index there to discover alien life
125,lee cronin, very simply actually lets say well go to mars with a mass spectrometer with a sufficiently high resolution so what you have to be able to do so a good thing about mass spec is that you can select the molecule from the mass and then if its high enough resolution you can be more and more sure that youre just seeing identical copies you can count them and then you fragment them and you count the number of fragments and look at the molecular weight and the higher the molecular weight and the higher the number of the fragments the higher the assembly index
126,lee cronin, so if you go to mars and you take a mass spec with high enough resolution and you can find molecules a guide on earth if you could find molecules say greater than  molecular weight with more than  fragments you have found artifacts that can only be produced at least on earth by life and now you would say oh well maybe the geological process i would argue very virulently that that is not the case
127,lee cronin, but we can say look if you dont like the cutoff on earth go up higher   because theres going to be a point where you can find a molecule with so many different parts the chances of you getting a molecule that has a hundred different parts and finding a million identical copies thats just impossible that could never happen in an infinite set of universes
128,lex fridman, can you just linger on this copy number thing a million different copies what do you mean by copies and why is the number of copies important
129,lee cronin, yeah that was so interesting i always understood the copy number is really important but i never explained it properly for ages and i kept having this it goes back to this if i give you a i dont know a really complicated molecule and i say its complicated you could say hey thats really complicated but is it just really random
130,lex fridman, mmhmm
131,lee cronin, so i realized that ultimate randomness and ultimate complexity are indistinguishable until you can see a structure in the randomness so you can see copies
132,lex fridman, so copies implies structure
133,lee cronin, yeah the factory
134,lex fridman, i mean theres a deep profound thing in there because if you just have a random process youre going to get a lot of complex beautiful sophisticated things
135,lee cronin, mmhmm
136,lex fridman, what makes them complex in the way we think life is complex or yeah something like a factory thats operating under a selection processes there should be copies is there some looseness about copies what does it mean for two objects to be equal
137,lee cronin, its all to do with the telescope or the microscope youre using and so at the maximum resolution the nice thing about chemists is they have this concept of the molecule and theyre all familiar with the molecule and molecules you can hold on your hand lots of them identical copies a molecule is actually a super important thing in chemistry to say look you can have a mole of a molecules an avogadros number of molecules and theyre identical what does that mean that means that the molecular composition the bonding and so on the configuration is indistinguishable you can hold them together you can overlay them
138,lee cronin, so the way i do it is if i say heres a bag of  identical molecules lets prove theyre identical you pick one out of the bag and you basically observe it using some technique and then you take it away and then you take another one out if you observe it using technique you see no differences theyre identical its really interesting to get right because if you take say two molecules molecules can be in different vibrational rotational states theyre moving all the time
139,lee cronin, so in this respect identical molecules have identical bonding in this case we dont even talk about chirality because we dont have a chirality detector so two identical molecules in one conception assembly theory basically considers both hands as being the same but of course theyre not theyre different as soon as you have a chiral distinguisher to detect the left and the right hand they become different and so its to do with the detection system that you have and the resolution
140,lex fridman, so i wonder if theres an art and science to the which detection system is used when you show up to a new planet
141,lee cronin, yeah yeah yeah
142,lex fridman, so youre talking about chemistry a lot today we have standardized detection systems of how to compare molecules so when you start to talk about emojis and language and mathematical theorems and i dont know more sophisticated things at different scale at a smaller scale than molecules at a larger scale than molecules what detection if we look at the difference between you and me lex and lee are we the same are we different
143,lee cronin, sure i mean of course were different close up but if you zoom out a little bit we will morphologically look the same high in characteristics hair length stuff like that
144,lex fridman, well also the species and
145,lee cronin, yeah yeah yeah
146,lex fridman,  and also theres a sense why were both from earth
147,lee cronin, yeah i agree i mean this is the power of assembly theory in that regard so if everything so the way to look at it if you have a box of objects if theyre all indistinguishable then using your technique what you then do is you then look at the assembly index now if the assembly index of them is really low and theyre all indistinguishable then theyre telling you that you have to go to another resolution so that would be it is a sliding scale its nice
148,lex fridman, got it so those two are attentional with each other
149,lee cronin, yeah
150,lex fridman, the number of copies and the assembly index
151,lee cronin, yeah
152,lex fridman, thats really really interesting so okay so you show up to a new planet youll be doing what
153,lee cronin, i would do mass spec i would bring
154,lex fridman, on a sample of what first of all how big of a scoop do you take do you just take a scoop what so were looking for primitive life
155,lee cronin, i would look yeah so if youre just going to mars or titan or enceladus or somewhere so a number of ways of doing it so you could take a large scoop or you go through the atmosphere and detect stuff you could make a life meter right one of sarahs colleagues at asu paul davies keeps calling it a life meter which is quite a nice idea because you think about it if youve got a living system thats producing these highly complex molecules and they drift away and theyre in a highly demanding environment they could be burnt right so they could just be falling apart so you want to sniff a little bit of complexity and say warmer warmer warmer oh weve found life we found the alien weve found the alien elon musk smoking a joint in the bottom of the cave on mars or elon himself whatever right
156,lex fridman, yeah mmhmm
157,lee cronin, you say okay found it so what you can do is a mass spectrometer you could just look for things in the gas phase or you go on the surface drill down because you want to find molecules that are well youve either got to find the source living system because the problem with just looking for complexity is it gets burnt away so in a harsh environment on say on the surface of mars theres a very low probability that youre going to find really complex molecules because of all the radiation and so on
158,lee cronin, if you drill down a little bit you could drill down a bit into soil thats billions of years old then i would put in some solvent water alcohol or something or take a scoop make it volatile put it into the mass spectrometer and just try and detect high complexity high abundant molecules and if you get them hey presto you can have evidence of life wouldnt that then be great if you could say okay weve found evidence of life now we want to keep the life meter keep searching for more and more complexity until you actually find living cells and you can get those new living cells and then you could bring them back to earth or you could try and sequence them you could see that they have different dna and proteins
159,lex fridman, go along the gradient of the life meter
160,lee cronin, exactly
161,lex fridman, how would you build a life meter lets say were together starting new
162,lee cronin, just a mass spectrometer
163,lex fridman,  new company launching a life
164,lee cronin, mass spectrometer would be the first way of doing it just take
165,lex fridman, no no no but thats one of the major components of it but im talking about
166,lee cronin, i would
167,lex fridman,  if its a device and branding logo we got to talk about
168,lee cronin, all right
169,lex fridman,  thats later but whats the input and whats the how do you get to the metered output
170,lee cronin, so i would take a so my life meter our life meter there you go
171,lex fridman, oh thank you
172,lee cronin, yeah youre welcome would have both infrared and mass spec it would have two ports so it could shine a light and so what it would do is you would have a vacuum chamber and you would have an electrostatic analyzer and youd have a monochromator to producing infrared youd add the sum so youd take a scoop of the sample put it in the life meter it would then add a solvent or heat up the sample so some volatiles come off the volatiles would then be put into the mass into electrostatic trap and youd weigh the molecules and fragment them alternatively youd shine infrared light on them and you count number of bands but youd have to in that case do some separation because you want to separate and so in mass spec its really nice and convenient because you can separate electrostatically but you need to have that
173,lex fridman, can you do it in real time
174,lee cronin, yeah pretty much pretty much yeah so lets go all the way back okay were really going to get this
175,lex fridman, lets go
176,lee cronin,  lexs life lex and lees life meter
177,lex fridman, no i like lex and lee its a good ring to it
178,lee cronin, all right so you have a vacuum chamber you have a little nose the nose would have some a packing material so you would take your sample add it onto the nose add a solvent or a gas it would then be sucked up the nose and that would be separated using what we call chromatography and then as each band comes off the nose well then do mass spec and infrared and in the case of the infrared count the number of bands in the case of mass spec count the number of fragments and weigh it
179,lee cronin, and then the further up in molecular weight range for the mass spec and the number of bands you go up and up and up from the dead interesting interesting over the threshold oh my gosh earth life and then right up to the batshit crazy this is definitely alien intelligence thats made this life right you could almost go all the way there same in the infrared and pretty simple
180,lee cronin, the thing that is really problematical is that for many years decades what people have done and i cant blame them is theyve rather theyve been obsessing about small biomarkers that we find on earth amino acids like single amino acids or evidence of small molecules and these things and looking for those while im looking for complexity the beautiful thing about this is you can look for complexity without earth chemistry bias or earth biology bias so assembly theory is just a way of saying hey complexity in abundance is evidence of selection thats how our universal life meter will work
